               	meet 	not 	my  	Today, 	to  	going 	complete 	too. 	an  	homework 	friends. 	includes 	rain 	am  	comprehensive. 	outside. 	interesting 	outside 	It  	ML, 	I   	NLP 	is  	topic. 	homework, 	today. 	topics 	DL
meet           	 0.0 	0.0 	1.0 	   0.0 	1.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
not            	 0.0 	0.0 	0.0 	   0.0 	0.0 	  1.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	1.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
my             	 1.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     1.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
Today,         	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	   0.0 	      0.0 	   1.0 	   0.0 	0.0
to             	 1.0 	0.0 	0.0 	   0.0 	0.0 	  2.0 	     1.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 1.0 	0.0 	           0.0 	     0.0 	        0.0 	    1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
going          	 0.0 	1.0 	0.0 	   0.0 	2.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	2.0 	           0.0 	     1.0 	        0.0 	    1.0 	0.0 	0.0 	0.0 	0.0 	1.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
complete       	 0.0 	0.0 	0.0 	   0.0 	1.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
too.           	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   1.0 	0.0
an             	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        1.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
homework       	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	1.0 	1.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
friends.       	 0.0 	0.0 	1.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
includes       	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	1.0 	0.0 	1.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
rain           	 0.0 	0.0 	0.0 	   0.0 	1.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   1.0 	   0.0 	0.0
am             	 0.0 	1.0 	0.0 	   0.0 	0.0 	  2.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	3.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
comprehensive. 	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	1.0 	0.0 	1.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
outside.       	 0.0 	0.0 	0.0 	   0.0 	0.0 	  1.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
interesting    	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	1.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   1.0 	      0.0 	   0.0 	   0.0 	0.0
outside        	 0.0 	0.0 	0.0 	   0.0 	1.0 	  1.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
It             	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
ML,            	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     1.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	1.0
I              	 0.0 	0.0 	0.0 	   1.0 	0.0 	  0.0 	     0.0 	 1.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	3.0 	           1.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
NLP            	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     1.0 	 0.0 	0.0 	     1.0 	     0.0 	     1.0 	 0.0 	0.0 	           0.0 	     1.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	1.0 	   1.0 	      1.0 	   1.0 	   0.0 	0.0
is             	 0.0 	0.0 	0.0 	   0.0 	0.0 	  1.0 	     0.0 	 0.0 	1.0 	     1.0 	     0.0 	     0.0 	 0.0 	0.0 	           1.0 	     0.0 	        0.0 	    0.0 	1.0 	0.0 	0.0 	1.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
topic.         	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        1.0 	    0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	0.0
homework,      	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	   0.0 	      0.0 	   1.0 	   0.0 	0.0
today.         	 0.0 	0.0 	0.0 	   1.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 1.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	1.0 	0.0 	   0.0 	      1.0 	   0.0 	   0.0 	0.0
topics         	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 1.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   0.0 	1.0
DL             	 0.0 	0.0 	0.0 	   0.0 	0.0 	  0.0 	     0.0 	 0.0 	0.0 	     0.0 	     0.0 	     0.0 	 0.0 	0.0 	           0.0 	     0.0 	        0.0 	    0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	   0.0 	      0.0 	   0.0 	   1.0 	0.0
